vietnamese_name,english_name,type,region,description,ingredients,how_to_eat,fun_fact,,
Cá 7 Món,Seven-Course Fish Feast,Fish Feast,All,"A seven-course fish feast - a similar concept to the beef feast, but with fish. It's popular for celebrations.","Various fish preparations: fish cakes, grilled fish, sour soup, fried fish, etc.",Start with the lighter courses and end with the heavier ones.,This is often eaten for special occasions - it requires planning and preparation.,,
Cá Bống Kho Tiêu,Mekong Delta Caramelized Goby Fish,Caramelized Fish,Mekong,"A Mekong Delta specialty - tiny goby fish caramelized in a clay pot with black pepper and fish sauce. It's sweet, salty, and peppery.","Small goby fish, caramel sauce, fish sauce, black pepper, garlic, shallots, coconut water","Eat it with plain rice. The fish are intensely flavored and tiny. You can eat them whole, bones and all.",The fish are about the size of your finger and are cooked until you can eat everything.,,
Cá Kho Tộ,Caramelized Fish in Clay Pot,Caramelized Fish,South,"Fish braised in a clay pot with caramel sauce, fish sauce, and black pepper until the sauce is thick and syrupy and the fish is caramelized.","Catfish, caramel sauce, fish sauce, black pepper, garlic, shallots, coconut water",Eat with lots of steamed rice - the sauce is meant to be poured over the rice.,The clay pot is essential - it distributes heat evenly and gives the dish an authentic flavor.,,
Cá Lăng Nướng,Grilled Catfish (Central style),Grilled Fish,Central,"Grilled catfish - a freshwater catfish with firm, fatty flesh. It's grilled over charcoal with lemongrass.","Cá lăng catfish, lemongrass, garlic, fish sauce, honey, chili","Eat it with rice paper, herbs, green banana, and starfruit, and dip it in a fermented fish sauce.","This fish has almost no bones, so it's very easy to eat.",,
Cá Lóc Nướng Trui,Straw-grilled Snakehead Fish,Grilled Fish,Mekong,"Snakehead fish grilled over straw until the skin is charred and crispy, while the flesh stays moist and flaky.","Fresh snakehead fish, straw for grilling, fresh herbs, rice paper, green banana, starfruit, cucumber, fermented fish sauce","Peel off the charred skin, flake the fish, wrap in rice paper with herbs and fruit, and dip in sauce.",The straw gives the fish a unique smoky flavor that can't be replicated with charcoal.,,
Cà Phê Sữa Đá,Iced Coffee with Condensed Milk,Iced Coffee,All,"Strong dark roast coffee brewed through a small metal drip filter directly into a glass of sweetened condensed milk, then stirred and poured over ice.","Robusta coffee, sweetened condensed milk, ice, hot water","Wait for the coffee to finish dripping, stir thoroughly to mix with the condensed milk, then pour over ice.","Vietnam is the world's second largest coffee producer, after Brazil.",,
Cà Phê Trứng,Egg Coffee (Hanoi style),Egg Coffee,Hanoi,"A Hanoi specialty - egg yolks whipped with sweetened condensed milk into a creamy, meringue-like foam atop strong dark coffee.","Egg yolks, sweetened condensed milk, strong dark roast coffee, hot water",Don't stir - sip the coffee through the creamy egg foam. Use a spoon to eat the foam at the end.,This was invented in the 1940s when milk was scarce - someone whisked egg yolk as a substitute.,,
Cà Ri Bò,Vietnamese Beef Curry,Beef Curry,All,"A beef curry - a tougher cut of beef is braised until tender, often with sweet potatoes.","Beef chuck, coconut milk, curry powder, lemongrass, sweet potatoes, carrots, onions",The beef needs a long cooking time and should be fall-apart tender.,"This is often served with rice noodles, not bread.",,
Cà Ri Gà,Vietnamese Chicken Curry,Chicken Curry,All,"Vietnamese chicken curry - it's lighter than Indian or Thai versions, with lemongrass, coconut milk, potatoes, and carrots. It's served with bread or noodles.","Chicken, coconut milk, curry powder, lemongrass, potatoes, carrots, onions, garlic, shallots","Eat it with a baguette so you can dip it in the sauce, or serve it over rice noodles. The sauce is meant to be soaked up.","This dish was influenced by Indian and Malay traders, but it's a distinctly Vietnamese version.",,
Cá Sặc Nướng,Grilled Croaking Fish (Mekong style),Grilled Fish,Mekong,"A Mekong Delta specialty - croaking fish is salted, dried in the sun, and then grilled over charcoal. It's intensely flavorful and chewy.","Croaking fish, salt, sugar, chili","Tear it into strips and eat it with rice and vegetables. The fish is very salty, so eat small amounts with lots of rice.","This was originally a preservation method, before refrigeration - the fish is salted and dried, which allows it to keep for weeks.",,
Cà Tím Nướng Mỡ Hành,Grilled Eggplant with Scallion Oil,Grilled Eggplant,All,"Eggplant grilled over charcoal until it's smoky, then topped with scallion oil, crushed peanuts, and soy sauce.","Eggplant, scallion oil, roasted peanuts, soy sauce, chili","Scrape the flesh from the skin and mix it with the toppings. It's smoky, savory, and nutty.",This is a street food classic - the smell of grilled eggplant is everywhere at night markets.,,
Cá Trê Kho Tộ,Braised Walking Catfish in a Clay Pot,Braised Catfish,Mekong,"Walking catfish braised in a clay pot with caramel sauce and black pepper. The catfish has a soft, fatty texture.","Walking catfish, caramel sauce, fish sauce, black pepper, garlic, shallots, coconut water",Eat it with rice. The fish is fatty and the sauce is thick and peppery.,This fish can actually 'walk' on land using its pectoral fins - it can survive out of water for a long time.,,
Canh Chua,Mekong Delta Sour Soup with Fish,Sour Soup,South,"A Mekong Delta sour soup with a tamarind-based broth, fish, pineapple, tomatoes, bean sprouts, and taro stem.","Fish, tamarind pulp, pineapple, tomatoes, bean sprouts, taro stem, okra, elephant ear stem, rice paddy herb","Eat it as a soup course with rice. The broth should be a perfect balance of sour, sweet, and salty.",This is considered the ultimate home cooking - every family has a slightly different version.,,
Cao Lầu,Thick Noodles with Pork (Hoi An style),Noodle Dish,Hoi An,"Hoi An's most famous dish - thick, chewy noodles that allegedly can only be made with water from the ancient Ba Le well. Topped with pork, herbs, and crispy crackers with just enough broth to moisten.","Thick rice noodles, pork, pork cracklings, bean sprouts, fresh herbs, rice crackers, broth","Mix everything, crushing the rice crackers. The texture combination is everything - chewy noodles, soft pork, crunchy crackers, fresh herbs.",Legend says Cao Lầu noodles can only be made with water from the Ba Le well - now protected as cultural heritage.,,
Chà Bông,Pork Floss,Pork Floss,All,"Dried, shredded pork floss - it's fluffy, savory, and salty.","Pork shoulder, fish sauce, sugar, shallots, garlic","Sprinkle it on rice, sticky rice, or in a bánh mì. It's shelf-stable.",It's called 'ruốc' in the north and 'chà bông' in the south.,,
Chả Cá Lã Vọng,Turmeric Fish with Dill,Turmeric Fish,North,"Turmeric-marinated catfish chunks pan-fried at your table with sizzling oil, fresh dill and green onions. Served with vermicelli noodles, peanuts, and shrimp paste.","Catfish, turmeric, galangal, shrimp paste, fresh dill, green onions, roasted peanuts, rice vermicelli","Place noodles in bowl, add fish with dill and scallions, sprinkle peanuts, add a TINY bit of shrimp paste (it's strong!), squeeze lime, and mix.",The street where the original restaurant sits is now named 'Cha Ca Street' after this single dish.,,
Chả Giò,Fried Spring Rolls (Southern style),Fried Spring Rolls,All,"Crispy fried spring rolls - rice paper wrapped around a filling of pork, shrimp, mushrooms, and vegetables.","Rice paper, ground pork, shrimp, wood ear mushrooms, cellophane noodles, carrots, onions, egg",Wrap them in lettuce with herbs and dip them in fish sauce. The contrast of the crispy roll with the fresh lettuce and herbs is essential.,"The southern version often uses a wheat paper, while the northern version uses rice paper - but they're both called chả giò.",,
Chả Giò Rế,Fried ,Net, Spring Rolls (Southern style),Fried Spring Rolls,South,Spring rolls wrapped in a woven rice paper 'net' - they become extra crispy and have a lacy texture.,"Ground pork, shrimp, mushrooms, cellophane noodles, woven rice paper net","The eating method is the same, but the texture is extra crispy thanks to the net wrapper.",The wrapper looks like netting and fries up to be incredibly crispy.
Chả Lụa,Vietnamese Pork Sausage (Ham),Pork Sausage,All,"A smooth, firm pork sausage with a fine texture and mild flavor. It's wrapped tightly in banana leaves and boiled.","Lean pork, potato starch, fish sauce, sugar, pepper, garlic, baking soda",Slice it thin and eat it with bread or in a bánh mì. It's also used in many noodle soups.,It must be wrapped tightly in banana leaves while cooking - this gives it its distinctive shape and a slight banana aroma.,,
Chả Rươi,Nereid Worm Cakes (Seasonal specialty),Worm Cakes,North,A seasonal specialty from Hai Duong province - cakes made from nereid worms. They're only available for a short time in the autumn.,"Nereid worms, egg, pork, dill, turmeric, mandarin peel",The worms look like centipedes but taste like seafood. The cake is pan-fried and eaten with rice or herbs.,The season for these worms is only 3-4 weeks per year - and people go crazy for it.,,
Cháo,Rice Porridge (Congee),Rice Porridge,All,Vietnamese congee - rice simmered until it breaks down into a porridge. There are countless variations with different proteins.,"Rice, water or broth, protein, ginger, scallions, fried shallots","Add lots of pepper, herbs, and fried shallots. Dip fried dough sticks in it.","This is the ultimate comfort food - eaten for breakfast, when you're sick, or late at night.",,
Cháo Cá,Fish Rice Porridge,Fish Porridge,All,"A fish porridge with flaked white fish, ginger, scallions, and dill.","Fish bones for broth, rice, white fish fillets, ginger, dill, scallions, fried shallots",Add lots of dill and pepper. The fish should be fresh and flaky.,Dill and fish is a classic Vietnamese combination - it's also used in the famous chả cá.,,
Cháo Hành,Scallion Rice Porridge,Scallion Porridge,All,Plain porridge with lots of scallions and ginger.,"Rice, water, lots of scallions, ginger, salt",This is the classic sick person's food. Add pepper and fried shallots.,Scallions and ginger are considered 'warming' foods - good for when you have a cold.,,
Cháo Huyết,Pork Blood Rice Porridge,Blood Porridge,All,Porridge with cubes of pork blood pudding.,"Rice, pork blood pudding, ginger, scallions, pepper","The blood pudding is soft, silky, and has a slightly metallic taste.",The blood pudding is made from fresh pork blood that is cooked until it sets.,,
Cháo Lòng,Pork Offal Porridge,Porridge,South,"Hearty rice porridge loaded with pork parts - heart, liver, kidney, and blood pudding. Topped with fried dough sticks, herbs, and pepper.","Rice porridge, pork heart, pork liver, pork kidney, blood pudding, fried dough sticks, ginger, scallions, cilantro, pepper",Add lots of pepper and herbs. Dip the fried dough in the porridge or eat it on the side.,Considered a hangover cure - the warm porridge and rich offal supposedly restore vitality.,,
Cháo Lòng (full),The Full Pork Offal Porridge Experience,Full Offal Porridge,North,"The full pork offal porridge experience - the porridge is served with a platter of boiled offal, including heart, liver, intestines, stomach, and blood pudding.","Rice porridge, assorted boiled pork offal, blood pudding, ginger, scallions, pepper, herbs","Eat the offal with a salt-pepper-lime dip, and sip the porridge in between bites.","This is the full experience - not just porridge, but an entire offal platter.",,
Cháo Lòng Heo,Pork Offal Rice Porridge,Pork Porridge,All,"A pork porridge with assorted offal - heart, liver, intestines - and blood pudding.","Pork bones, rice, pork heart, liver, intestines, blood pudding, ginger, scallions","Add lots of pepper, herbs, and fried dough sticks.",This is the ultimate hangover cure. Every part of the pig is used - nothing is wasted.,,
Cháo Sườn,Pork Rib Rice Porridge,Rib Porridge,All,"Porridge made with pork rib bones for flavor, with shredded pork meat added.","Pork ribs, rice, shredded pork, ginger, scallions, fried dough sticks",The meat falls off the bones and flavors the broth.,The ribs are simmered for a long time until they're very tender.,,
Cháo Thịt Băm,Ground Pork Rice Porridge,Ground Pork Porridge,All,"Porridge with ground pork, ginger, and scallions.","Rice, ground pork, ginger, scallions, fish sauce, pepper",Add fried dough sticks and lots of pepper.,This is the most common version found at street stalls.,,
Cháo Tim Cật,Pork Kidney and Heart Rice Porridge,Kidney Porridge,All,Porridge with pork heart and kidney - for offal lovers.,"Rice, pork heart, pork kidney, ginger, scallions, pepper","The offal should be just cooked - still tender, not rubbery.",The kidney is sliced thin and cooked very briefly.,,
Chạo Tôm,Shrimp Paste on Sugarcane,Shrimp Sausage,All,"Seasoned shrimp paste molded around sugarcane sticks, then grilled until pink with charred edges.","Fresh shrimp, pork fat, fish sauce, sugar, pepper, garlic, sugarcane sticks","Hold the sugarcane stick, bite the shrimp off, and chew on the sugarcane for the sweet juice.",The sugarcane isn't eaten - it's just used as a handle and flavor infuser.,,
Chạo Tôm Bọc Mía,Grilled Shrimp Paste on Sugarcane,Shrimp on Sugarcane,All,The same as chạo tôm - shrimp paste is molded around a sugarcane stick and grilled.,"Shrimp paste, sugarcane sticks, seasoning","Bite the shrimp off the sugarcane, then chew on the sugarcane for the sweet juice.",The sugarcane itself isn't eaten - it's just used as a handle and flavor infuser.,,
Chạo Tôm Bọc Nấm,Shrimp-wrapped Mushrooms,Shrimp-wrapped Mushrooms,All,A modern variation - shrimp paste is wrapped around enoki or other mushrooms and then fried.,"Shrimp paste, enoki mushrooms, seasoning",The mushrooms add extra moisture and a textural contrast.,This is a lighter variation on the traditional chạo tôm.,,
Chạo Tôm Chiên,Fried Shrimp Cakes,Fried Shrimp Cakes,All,Shrimp paste is formed into cakes and fried until golden.,"Shrimp paste, seasoning, breadcrumbs",Eat them with a sweet and sour sauce.,This is a simpler version than the one on sugarcane and is often served as an appetizer.,,
Cháo Trắng,Plain Rice Porridge,Plain Porridge,All,Plain rice porridge with nothing added - it's a blank canvas.,"Rice, water, salt","Eat it with side dishes: salted eggs, pickled vegetables, fried fish, or pork floss.",This is the ultimate comfort food when you're sick - it's easy to digest and you can add anything to it.,,
Cháo Vịt,Duck Rice Porridge,Duck Porridge,South,"A duck porridge with roasted duck meat, ginger, and scallions. Served with fried dough sticks.","Duck bones for broth, rice, roasted duck meat, ginger, scallions, pepper, fried dough sticks",Add lots of ginger and pepper. Dip the fried dough sticks in the porridge.,"This is often eaten at duck restaurants - the whole duck is used, with the meat for roasting and the bones for the porridge.",,
Chè,Vietnamese Sweet Dessert Soup,Dessert,All,"Vietnamese sweet dessert soup with endless variations. It can be hot or cold, with beans, fruits, jelly, and coconut milk.","Mung beans, black beans, kidney beans, tapioca pearls, coconut milk, sugar, jackfruit, durian, longan, lotus seeds, agar jelly","Served in a glass or bowl. Eat with a spoon or drink it, depending on the consistency.",There are over 100 varieties of chè - every region has its own specialty versions.,,
Chè Bà Cốt,Legendary Hanoi Coconut Dessert,Coconut Dessert,North,"A legendary Hanoi dessert - coconut cream-based sweet soup with lotus seeds, longan fruit, and jelly, all topped with crushed ice.","Coconut cream, lotus seeds, longan fruit, agar jelly, crushed ice, pandan leaves","Pour the coconut cream over your choice of toppings, add ice, and stir.","The original Bà Cốt has been serving this for over 50 years from the same location, but they never put up a sign - you just have to know where it is.",,
Chè Bắp,Sweet Corn Pudding,Corn Dessert,All,A sweet corn pudding - fresh corn kernels in a sweet coconut milk.,"Fresh corn, coconut milk, sugar, tapioca starch",The corn is sweet and chewy. It can be eaten warm or cold.,"This is best when made with fresh corn, right in the corn season.",,
Chè Chuối,Warm Banana Tapioca Pudding,Banana Dessert,South,"Warm banana and tapioca pudding with coconut milk, topped with crushed peanuts and sesame seeds.","Bananas, tapioca pearls, coconut milk, sugar, salt, crushed peanuts, sesame seeds",Eat it warm. Sometimes served with an extra drizzle of coconut cream.,Some versions include a banana flower for a subtle bitterness that balances the sweetness.,,
Chè Chuối (warm),Warm Banana Tapioca Pudding (southern),Banana Dessert,South,A warm banana and tapioca pudding with coconut milk.,"Bananas, tapioca pearls, coconut milk, sugar, salt, peanuts",Eat it warm - it's a comforting dessert.,Some people add crushed peanuts and sesame seeds on top.,,
Chè Đậu Đen,Sweet Black Bean Dessert,Black Bean Dessert,All,"A black bean sweet soup - black beans are cooked until soft, sweetened, and served with coconut milk.","Black beans, sugar, coconut milk, vanilla",Eat it with a drizzle of coconut cream on top.,"Black beans are considered a 'cooling' food, so this is good for hot weather.",,
Chè Đậu Đỏ,Sweet Red Bean Dessert,Red Bean Dessert,All,"A red bean sweet soup, similar to the black bean version.","Red adzuki beans, sugar, coconut milk",It's often served with green pandan jelly.,"The red color is considered lucky, so this is often served at celebrations.",,
Chè Đậu Xanh,Sweet Mung Bean Dessert,Mung Bean Dessert,All,A sweet mung bean dessert - whole or split mung beans are cooked with sugar and coconut milk.,"Mung beans, sugar, coconut milk, tapioca starch",It can be served hot or cold. It's simple and comforting.,This is the base for many other variations of chè.,,
Chè Hạt Sen,Sweet Lotus Seed Dessert,Lotus Seed Dessert,All,"A lotus seed dessert - fresh lotus seeds are cooked in a sweet, clear syrup or in coconut milk.","Fresh lotus seeds, sugar, water or coconut milk",The lotus seeds are soft and nutty.,Lotus seeds are considered a sophisticated ingredient - this is a royal dessert.,,
Chè Khoai Môn,Sweet Taro Dessert,Taro Dessert,All,A taro dessert - cubes of taro in a sweet coconut milk.,"Taro, coconut milk, sugar, tapioca pearls",The taro is soft and creamy.,"Taro is naturally sweet, so it requires less added sugar.",,
Chè Mít,Sweet Jackfruit Dessert,Jackfruit Dessert,All,A jackfruit dessert - strips of ripe jackfruit are served with a mung bean paste and coconut milk. It can be served warm or cold.,"Ripe jackfruit, mung bean paste, coconut milk, sugar, tapioca pearls","The jackfruit is fragrant and chewy, the mung bean is creamy, and the coconut milk is rich.",The combination of jackfruit and coconut is a classic - they're perfect together.,,
Chè Thái,Southern Thai-style Fruit Cocktail Dessert,Thai-style Dessert,South,"A southern-style fruit cocktail dessert - a mix of tropical fruits and jelly in coconut milk, topped with crushed ice.","Jackfruit, longan, lychee, durian, coconut jelly, palm seeds, coconut milk, sugar syrup, crushed ice","Mix it well and eat it with a spoon. It's refreshing, sweet, and cold.","Despite the name, this dish is more Vietnamese than Thai - it's been adapted to local tastes.",,
Cốm,Young Green Rice Flakes (Hanoi specialty),Green Rice Flakes,North,"Young green rice that's been harvested early, pounded flat, and roasted. It results in delicate, sweet, and nutty flakes.","Young glutinous rice, water",Eat it as a snack with a banana or use it to make a sweet dessert.,This is only available for a few months in the fall when the rice is just starting to form - it's a seasonal delicacy.,,
Cơm Cháy,Crispy Fried Rice Crackers with Pork,Fried Rice,Ninh Bình,"Crispy fried rice crust from the bottom of the pot, topped with a savory sauce made from pork, mushrooms, and green beans.","Cooked rice crust, pork, wood ear mushrooms, green beans, carrots, shallots, fish sauce",Scoop up the topping with the crispy rice pieces. Eat immediately while still crunchy.,Born from thrift - farmers didn't want to waste the crispy rice left in the pot.,,
Cơm Chiên Cá Mặn,Salted Fish Fried Rice,Fried Rice,South,"Fried rice made with salted fish - it's pungent, savory, and addictive.","Day-old rice, salted fish, garlic, eggs, vegetables, fish sauce",Salted fish is very strong - just a small amount will flavor the whole dish.,"This is an acquired taste - salted fish is extremely pungent, but it's delicious when cooked right.",,
Cơm Chiên Dương Châu,Yangzhou-style Fried Rice (Vietnamese version),Fried Rice,All,"The Vietnamese version of Yangzhou fried rice - made with shrimp, Chinese sausage, peas, carrots, and eggs.","Day-old rice, shrimp, Chinese sausage, peas, carrots, eggs, garlic, soy sauce",Eat it with pickled cucumbers and chili sauce.,This is a Chinese influence that has been adapted to Vietnamese tastes - it's often sweeter and has more ingredients.,,
Cơm Gà Hội An,Chicken Rice (Hoi An style),Chicken Rice,Hoi An,"Fragrant turmeric rice with shredded poached chicken, fresh herbs, and a special dipping sauce.","Chicken, turmeric rice, fresh herbs, cucumber, pickled vegetables, chicken broth, chili-garlic fish sauce","Mix the chicken with the rice, eat with the fresh vegetables, and sip the accompanying broth between bites.",Hoi An's chicken is famous for its perfect chewy texture from free-range birds.,,
Cơm Hến,Hue Clam Rice Bowl,Clam Rice,Huế,"A Huế specialty - rice topped with tiny basket clams, clam broth, crispy pork skin, peanuts, herbs, and chili. It's eaten at room temperature.","Rice, tiny basket clams, clam broth, crispy pork skin, roasted peanuts, fresh herbs, chili, sesame rice crackers",Mix everything together - it should be slightly wet from the clam broth. Eat it with the sesame crackers.,The clams used are tiny - smaller than your fingernail - and they are labor-intensive to harvest and prepare.,,
Cơm Niêu,Clay Pot Rice,Clay Pot Rice,All,Rice cooked in a clay pot until the bottom layer becomes crispy. It's served with various toppings and is scraped from the pot at the table.,"Jasmine rice, water",Scrape up the crispy bottom layer - it's the best part. Mix it with the toppings and eat it.,Cooking rice in a clay pot gives it a distinctive fragrance and a delicious crispy bottom.,,
Cơm Tấm,Broken Rice with Grilled Pork,Broken Rice,South,"Saigon's quintessential comfort food - 'broken rice' traditionally considered cheap, now elevated with grilled pork chop, shredded pork skin, steamed egg meatloaf, and a fried egg.","Broken rice, grilled pork chop, shredded pork skin, pork meatloaf, fried egg, scallion oil, pickled vegetables, cucumber, tomato, fish sauce",Mix everything together! The magic is in combining all elements in each bite.,The best cơm tấm places are judged by their grilled pork - it should be caramelized on the edges but juicy inside.,,
Cua Hấp Gừng,Ginger-steamed Crab,Steamed Crab,All,Fresh crab steamed with ginger and beer. Nothing else is needed.,"Live crab, ginger, beer, scallions",Crack the claws and eat the meat. Dip it in salt-pepper-lime.,The best crab is simply steamed - the quality of the crab itself matters most.,,
Đậu Phụ Sốt Cà,Fried Tofu in Tomato Sauce,Tofu Dish,All,"Firm tofu fried until golden, then simmered in a tomato sauce with scallions.","Firm tofu, tomatoes, tomato paste, scallions, fish sauce, sugar, garlic","Pour it over rice with lots of sauce. It's simple, satisfying, and cheap.",This is a Vietnamese vegetarian staple - it can easily be made vegan by omitting the fish sauce.,,
Dồi Trường,Pork Sausage (made from intestines),Pork Sausage,North,"A pork sausage made from intestines that are stuffed with ground pork, blood, and herbs.","Pork intestines, ground pork, pork blood, herbs, seasoning","It can be grilled or boiled, then sliced and dipped in fish sauce with chili.",This is different from European sausages - it has a coarser texture and a stronger flavor.,,
Gà 7 Món,Seven-Course Chicken Feast,Chicken Feast,All,A seven-course chicken feast.,"Chicken prepared in seven ways: salad, steamed, grilled, fried, porridge, etc.",Start with the salad and end with the porridge. Every part of the chicken is used.,The whole chicken is used - nothing is wasted.,,
Giò Bò,Vietnamese Beef Sausage,Beef Sausage,All,A Vietnamese beef sausage - it has a finer texture than the pork version and is often steamed.,"Lean beef, beef fat, fish sauce, pepper, baking soda",Slice it thin and eat it in a bánh mì or with rice.,This is a lighter alternative to the pork sausage.,,
Giò Thủ,Northern Head Cheese,Head Cheese,North,"Northern head cheese - pork head parts, like ears, snout, and tongue, are mixed with wood ear mushrooms and pepper, then pressed into a loaf.","Pork ears, snout, tongue, wood ear mushrooms, black pepper, fish sauce, garlic",Slice it thin and eat it with rice or bread. It's chewy and crunchy from the cartilage.,This is different from European head cheese - the Vietnamese version uses more pepper and less fat.,,
Gỏi Cá Mai,Phu Quoc Mai Fish Salad (Lime-cured),Fish Salad,Phu Quoc,"A Phu Quoc specialty - fresh mai fish cured in lime juice and mixed with herbs, peanuts, and fried shallots. It's served immediately, with the fish 'cooking' in the lime.","Fresh mai fish, lime juice, fish sauce, sugar, garlic, chili, herbs, roasted peanuts, fried shallots",Eat it immediately after it's mixed - the fish will turn opaque from the lime. Wrap it in rice paper with extra herbs.,The fish must be used within hours of being caught - it has to be ultra-fresh.,,
Gỏi Cá Trích,Phu Quoc Herring Salad,Fish Salad,Phu Quoc,"A herring salad - fresh herring sliced thin and served with shredded coconut, green mango, and herbs. You wrap it all in rice paper and dip it in a special sauce.","Fresh herring fillets, shredded coconut, green mango, pineapple, cucumber, herbs, rice paper, dipping sauce","Wrap the herring with the coconut, mango, and herbs in the rice paper, then dip it in the sauce.",Herring are abundant around Phu Quoc and are rich in omega-3 fatty acids.,,
Gỏi Cuốn,Fresh Spring Rolls with Shrimp and Pork,Fresh Spring Rolls,South,"Fresh spring rolls - translucent rice paper wrapped around shrimp, pork, vermicelli, and fresh herbs, served with hoisin-peanut dipping sauce.","Rice paper, shrimp, pork, rice vermicelli, lettuce, mint, cilantro, chives, hoisin sauce, peanut butter, garlic, chili",Dip generously in the sauce. Eat in one or two bites.,The best gỏi cuốn have the shrimp showing through the wrapper - it's a sign of skilled rolling.,,
Há Cảo,Vietnamese Shrimp Dumplings (Har Gow),Shrimp Dumplings,All,"The Vietnamese version of har gow - translucent wheat starch dumplings with a shrimp filling, steamed and served with a soy dipping sauce.","Wheat starch, tapioca starch, shrimp, bamboo shoots, sesame oil, sugar, white pepper",Dip them in soy sauce with chili. Eat them while they're hot.,This is a Chinese influence - the Vietnamese version often has more shrimp and less fat.,,
Hủ Tiếu Nam Vang,Phnom Penh Style Noodle Soup,Noodle Soup,South,"Clear, sweet broth made from pork and dried squid, served with rice noodles, various pork cuts, shrimp, quail eggs, and fried garlic.","Pork broth, dried squid, rice noodles, pork ribs, ground pork, shrimp, quail eggs, fried garlic, chives, bean sprouts, herbs","Add fresh herbs, bean sprouts, and a squeeze of lime. The fried garlic is essential - don't skip it.",The dried squid in the broth is the secret ingredient - it adds a subtle ocean flavor without tasting fishy.,,
Hủ Tiếu Xào,Stir-fried Hủ Tiếu Noodles,Stir-fried Noodles,South,"Stir-fried hủ tiếu noodles with beef, seafood, or a mix.","Hủ tiếu noodles, beef, seafood, vegetables, garlic, soy sauce, oyster sauce",The noodles are chewier than pho noodles. Eat them hot.,Hủ tiếu noodles have a different texture - they're made with an addition of tapioca flour?,,
Kem,Vietnamese Ice Cream,Ice Cream,All,Vietnamese ice cream - it's often made with coconut milk and tropical fruit flavors.,"Coconut milk, sugar, tropical fruits","Eat it in a bowl, in a cone, or even between two pieces of bread.",Kem Tràng Tiền in Hanoi has been famous for its ice cream since 1958.,,
Kem Dừa,Coconut Ice Cream served in a Coconut,Coconut Ice Cream,All,"Coconut ice cream served in a young coconut shell, topped with fresh coconut flesh.","Coconut ice cream, young coconut shell, fresh coconut flesh, roasted peanuts",Eat the ice cream and then scrape out the fresh coconut flesh from the shell.,The shell keeps the ice cream cold and makes for a beautiful presentation.,,
Kem Xôi,Sticky Rice with Coconut Ice Cream,Sticky Rice with Ice Cream,All,"A unique combination - warm, sticky rice is topped with cold, coconut ice cream.","Warm sticky rice, coconut ice cream, crushed peanuts, coconut flakes",The contrast of the hot rice and the cold ice cream is amazing.,"It sounds weird, but it tastes incredible - you have to try it.",,
Khô Cá Lóc,Sun-dried Snakehead Fish,Dried Fish,Mekong,"Sun-dried snakehead fish - it's pounded flat, dried, and then grilled or fried.","Snakehead fish, salt, sugar, turmeric",Grill or fry it until it's crispy. Tear it into strips and eat it with rice and a green mango salad.,"The drying process concentrates the flavor - it becomes intensely fishy, chewy, and addictive.",,
Lạp Xưởng,Vietnamese Chinese Sausage,Chinese Sausage,All,"A dried pork sausage - it's sweet, fatty, and has a firm texture.","Pork, pork fat, sugar, salt, soy sauce, Chinese wine","Steam it or fry it, then slice it and eat it with rice or in a bánh mì.","This is a Chinese influence, but the Vietnamese version is sweeter and fattier.",,
Lẩu Cá Kèo,Brackish Water Goby Fish Hotpot,Hotpot,Mekong,"A hotpot with a small, brackish water goby fish that has a huge head. The broth is sour and spicy.","Cá kèo fish, tamarind, pineapple, tomatoes, bean sprouts, vegetables, rice noodles","The fish has soft, sweet flesh. Be careful of the bones.","The fish's name means 'climbing fish' - they can actually climb trees! (Well, mangrove roots.)",,
Lẩu Cua Đồng,Northern Field Crab Hotpot,Hotpot,North,"A northern specialty - a hotpot with a broth made from pounded freshwater field crabs, topped with crab paste clots.","Field crabs, tomatoes, fermented crab paste, green onions, dill, water spinach, taro stem, tofu, rice noodles",Dip the vegetables and noodles in the broth and eat the crab clots with rice.,"Making the broth is labor-intensive - the crabs are pounded, strained, and simmered until crab 'flowers' form on top.",,
Lẩu Cua Đồng,Northern Field Crab Hotpot,Hotpot,North,"A northern hotpot with a broth made from pounded freshwater crabs, crab patties, and green vegetables.","Freshwater field crabs, tomatoes, green onions, dill, taro stems, water spinach, rice noodles",Dip the vegetables in the broth and eat the crab patties with rice. The broth has a distinctive crab flavor.,The field crabs live in the rice paddies and are harvested during farming season.,,
Lẩu Ếch,Frog Hotpot,Hotpot,All,"A frog hotpot with lemongrass, galangal, chili, and vegetables. The frog meat is delicate, like chicken.","Frog legs, lemongrass, galangal, kaffir lime leaves, chili, tomatoes, pineapple, vegetables, rice noodles","The frog meat cooks quickly, so don't overcook it.",Frog farming is common in the Mekong Delta - it's a sustainable protein source.,,
Lẩu Mắm,Fermented Fish Hotpot,Hotpot,Mekong,"The ultimate Mekong Delta experience - a pungent hotpot centered around fermented fish. The broth is made by cooking fermented fish with lemongrass, eggplant, and coconut water.","Fermented fish, broth, lemongrass, eggplant, coconut water, freshwater fish, shrimp, pork, morning glory, vegetables, rice noodles","Cook ingredients in the bubbling broth, let them absorb the flavor, and eat with rice noodles.","This is an acquired taste - the fermented fish base can be overwhelming for beginners, but locals love its funky complexity.",,
